config,,,,,,,,guess,,,,,,,,,,,,,,,
,,,,,,,,brand code?,"left=T-16,right=machine command{0=off,2=cooling module,A=heating module}",,,"mode,00=off/40=cool/C0=hot","fanspeed,A0=auto/60=low/40=mid/20=high",,"mode:cool=20,hot=80",,,,,"modification,Tup=00/Tdw=01/speed=04/null=05{?}",,,
type(switch=1/modify=2),power(on=1/off=2),mode,aux_heat,fan_speed,temperature,swing,specification,Byte0,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Byte9,Byte10,Byte11,Byte12,Byte13,hex_code,timestamp
2,1,2,2,1,27,1,26 to 27,A6,B2,00,00,40,60,00,20,00,00,00,00,00,18,A6B2000040600020000000000018,6/18/2025 11:50
2,1,2,2,1,26,1,25 to 26,A6,A2,00,00,40,60,00,20,00,00,00,00,00,08,A6A2000040600020000000000008,6/18/2025 12:47
2,1,2,2,1,26,1,27 to 26,A6,A2,00,00,40,60,00,20,00,00,00,00,01,09,A6A2000040600020000000000109,6/18/2025 12:48
1,1,2,2,1,27,1, ,A6,B2,00,00,40,60,00,20,00,00,00,00,05,1D,A6B200004060002000000000051D,6/18/2025 12:52
1,2,2,2,1,27,1, ,A6,B0,00,00,00,60,00,20,00,00,00,00,05,DB,A6B00000006000200000000005DB,6/18/2025 12:56
1,2,2,2,1,26,1, ,A6,A0,00,00,00,60,00,20,00,00,00,00,05,CB,A6A00000006000200000000005CB,6/18/2025 12:57
1,1,2,2,1,26,1, ,A6,A2,00,00,40,60,00,20,00,00,00,00,05,0D,A6A200004060002000000000050D,6/18/2025 12:58
1,1,2,2,2,26,1, ,A6,A2,00,00,40,40,00,20,00,00,00,00,05,ED,A6A20000404000200000000005ED,6/18/2025 14:06
1,2,2,2,2,26,1, ,A6,A0,00,00,00,40,00,20,00,00,00,00,05,AB,A6A00000004000200000000005AB,6/18/2025 14:07
1,1,2,2,3,26,1, ,A6,A2,00,00,40,20,00,20,00,00,00,00,05,CD,A6A20000402000200000000005CD,6/18/2025 14:09
1,2,2,2,3,26,1, ,A6,A0,00,00,00,20,00,20,00,00,00,00,05,8B,A6A000000020002000000000058B,6/18/2025 14:10
1,1,2,2,4,26,1, ,A6,A2,00,00,40,A0,00,20,00,00,00,00,05,4D,A6A2000040A0002000000000054D,6/18/2025 14:13
1,2,2,2,4,26,1, ,A6,A0,00,00,00,A0,00,20,00,00,00,00,05,0B,A6A0000000A0002000000000050B,6/18/2025 14:14
2,1,2,2,2,26,1,speed 1 to 2,A6,A2,00,00,40,40,00,20,00,00,00,00,04,EC,A6A20000404000200000000004EC,6/18/2025 14:17
2,1,2,2,3,26,1,speed 2 to 3,A6,A2,00,00,40,20,00,20,00,00,00,00,04,CC,A6A20000402000200000000004CC,6/18/2025 14:18
1,1,5,1,1,24,1, ,A6,8A,00,00,C0,60,00,80,00,00,00,00,05,D5,A68A0000C06000800000000005D5,6/18/2025 15:46
1,2,5,1,1,24,1, ,A6,80,00,00,00,60,00,80,00,00,00,00,05,0B,A68000000060008000000000050B,6/18/2025 15:48
1,2,3,2,1,24,1, ,A6,80,00,00,00,60,00,40,00,00,00,00,05,CB,A6800000006000400000000005CB,6/19/2025 9:03
1,1,4,2,1,null,1,no temp option,A6,82,00,00,40,60,00,C0,00,00,00,00,05,8D,A6820000406000C000000000058D,6/19/2025 9:04
1,1,1,2,1,26,1, ,A6,A2,00,00,40,60,00,00,00,00,00,00,05,ED,A6A20000406000000000000005ED,6/19/2025 9:06
2,1,2,2,1,26,2, ,A6,AC,00,00,40,60,00,20,00,00,00,00,02,14,A6AC000040600020000000000214,6/19/2025 9:08
