type(switch=1/modify=2),power(on=1/off=2),mode,aux_heat,fan_speed,temperature,swing,specification,hex_code,timestamp
2,1,2,2,1,27,1,26 to 27,A6B2000040600020000000000018,2025-06-18 11:50:51
2,1,2,2,1,26,1,25 to 26,A6A2000040600020000000000008,2025-06-18 12:47:40
2,1,2,2,1,26,1,27 to 26,A6A2000040600020000000000109,2025-06-18 12:48:55
1,1,2,2,1,27,1, ,A6B200004060002000000000051D,2025-06-18 12:52:58
1,2,2,2,1,27,1, ,A6B00000006000200000000005DB,2025-06-18 12:56:21
1,2,2,2,1,26,1, ,A6A00000006000200000000005CB,2025-06-18 12:57:46
1,1,2,2,1,26,1, ,A6A200004060002000000000050D,2025-06-18 12:58:48
1,1,2,2,2,26,1, ,A6A20000404000200000000005ED,2025-06-18 14:06:10
1,2,2,2,2,26,1, ,A6A00000004000200000000005AB,2025-06-18 14:07:25
1,1,2,2,3,26,1, ,A6A20000402000200000000005CD,2025-06-18 14:09:26
1,2,2,2,3,26,1, ,A6A000000020002000000000058B,2025-06-18 14:10:30
1,1,2,2,4,26,1, ,A6A2000040A0002000000000054D,2025-06-18 14:13:07
1,2,2,2,4,26,1, ,A6A0000000A0002000000000050B,2025-06-18 14:14:06
2,1,2,2,2,26,1,speed 1 to 2,A6A20000404000200000000004EC,2025-06-18 14:17:05
2,1,2,2,3,26,1,speed 2 to 3,A6A20000402000200000000004CC,2025-06-18 14:18:39
1,1,5,1,1,24,1, ,A68A0000C06000800000000005D5,2025-06-18 15:46:56
1,2,5,1,1,24,1, ,A68000000060008000000000050B,2025-06-18 15:48:05
1,2,3,2,1,24,1, ,A6800000006000400000000005CB,2025-06-19 09:03:01
1,1,4,2,1,26,1,no temp option,A6820000406000C000000000058D,2025-06-19 09:04:57
1,1,1,2,1,26,1, ,A6A20000406000000000000005ED,2025-06-19 09:06:34
2,1,2,2,1,26,2, ,A6AC000040600020000000000214,2025-06-19 09:08:17

